,Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),Cleaned_Address,Address_Mean_Price,Address_Mean_Price(USD)
0,63,1,1,1,1,Shahran,1850000000.0,61666.67,shahran,2985753846.1538463,99525.1286923077
1,60,1,1,1,1,Shahran,1850000000.0,61666.67,shahran,2985753846.1538463,99525.1286923077
2,79,2,1,1,1,Pardis,550000000.0,18333.33,pardis,777821917.8082192,25927.39732876712
3,95,2,1,1,1,Shahrake Qods,902500000.0,30083.33,shahrake qods,900921739.1304348,30030.72463768116
4,123,2,1,1,1,Shahrake Gharb,7000000000.0,233333.33,shahrake gharb,11969881355.932203,398996.04508474574
5,70,2,1,1,0,North Program Organization,2050000000.0,68333.33,north program organization,5394807692.307693,179826.92307692306
6,87,2,1,1,1,Pardis,600000000.0,20000.0,pardis,777821917.8082192,25927.39732876712
7,59,1,1,1,1,Shahran,2150000000.0,71666.67,shahran,2985753846.1538463,99525.1286923077
8,54,2,1,1,0,Andisheh,493000000.0,16433.33,andisheh,1877592771.0843372,62586.42602409639
9,71,1,1,1,1,West Ferdows Boulevard,2370000000.0,79000.0,west ferdows boulevard,3105744827.6068964,103524.82772413793
10,68,2,1,1,1,West Ferdows Boulevard,2450000000.0,81666.67,west ferdows boulevard,3105744827.6068964,103524.82772413793
11,64,1,1,1,1,Narmak,2100000000.0,70000.0,narmak,3939920000.0,131330.6668
12,54,1,0,1,1,Narmak,1690000000.0,56333.33,narmak,3939920000.0,131330.6668
13,136,3,1,1,1,Saadat Abad,11000000000.0,366666.67,saadat abad,9488759689.922482,316291.9895348837
14,95,2,1,1,1,Zafar,5000000000.0,166666.67,zafar,5749333333.333333,191644.44555555555
15,63,1,0,1,0,Islamshahr,570000000.0,19000.0,islamshahr,1257423076.9230769,41914.10230769231
16,155,3,1,1,1,Narmak,6700000000.0,223333.33,narmak,3939920000.0,131330.6668
17,64,2,0,1,0,Pirouzi,1450000000.0,48333.33,pirouzi,2175000000.0,72499.99968253968
18,140,3,1,1,1,West Ferdows Boulevard,6400000000.0,213333.33,west ferdows boulevard,3105744827.6068964,103524.82772413793
19,42,1,0,1,0,Pirouzi,1390000000.0,46333.33,pirouzi,2175000000.0,72499.99968253968
20,93,2,1,1,1,Shahrake Gharb,7000000000.0,233333.33,shahrake gharb,11969881355.932203,398996.04508474574
21,87,2,1,1,1,Shahrake Shahid Bagheri,2500000000.0,83333.33,shahrake shahid bagheri,2475000000.0,82500.0
22,65,1,1,1,1,Shahran,1880000000.0,62666.67,shahran,2985753846.1538463,99525.1286923077
23,99,2,1,1,1,Moniriyeh,2277000000.0,75900.0,moniriyeh,2162000000.0,72066.66500000001
24,105,2,1,1,1,Saadat Abad,7150000000.0,238333.33,saadat abad,9488759689.922482,316291.9895348837
25,160,3,1,1,1,Velenjak,14945000000.0,498166.67,velenjak,21381363636.363636,712712.1213636363
26,77,2,1,1,1,Amirieh,1771000000.0,59033.33,amirieh,1790416674.0,59680.556666666664
27,123,2,1,1,1,Pirouzi,4059000000.0,135300.0,pirouzi,2175000000.0,72499.99968253968
28,110,2,1,1,1,Southern Janatabad,630000000.0,21000.0,southern janatabad,3178451612.903226,105948.38731182796
29,100,2,1,1,1,West Ferdows Boulevard,3200000000.0,106666.67,west ferdows boulevard,3105744827.6068964,103524.82772413793
30,90,2,0,1,0,Salsabil,1500000000.0,50000.0,salsabil,1397009166.6666667,46566.97266666666
31,49,1,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33,west ferdows boulevard,3105744827.6068964,103524.82772413793
32,96,2,1,1,1,Zargandeh,7872000000.0,262400.0,zargandeh,7068000000.0,235600.0
33,67,2,1,1,0,Feiz Garden,2350000000.0,78333.33,feiz garden,3056315789.4736843,101877.19315789473
34,68,2,1,1,1,West Ferdows Boulevard,2500000000.0,83333.33,west ferdows boulevard,3105744827.6068964,103524.82772413793
35,62,1,1,0,1,Water Organization,2150000000.0,71666.67,water organization,3100000000.0,103333.335
36,55,1,1,1,1,West Ferdows Boulevard,2150000000.0,71666.67,west ferdows boulevard,3105744827.6068964,103524.82772413793
37,110,2,1,1,1,West Ferdows Boulevard,3750000000.0,125000.0,west ferdows boulevard,3105744827.6068964,103524.82772413793
38,129,2,1,1,1,West Ferdows Boulevard,5250000000.0,175000.0,west ferdows boulevard,3105744827.6068964,103524.82772413793
39,109,2,1,1,1,West Ferdows Boulevard,4830000000.0,161000.0,west ferdows boulevard,3105744827.6068964,103524.82772413793
40,58,1,1,1,1,Saadat Abad,3400000000.0,113333.33,saadat abad,9488759689.922482,316291.9895348837
41,55,1,1,1,1,Saadat Abad,3850000000.0,128333.33,saadat abad,9488759689.922482,316291.9895348837
42,150,2,0,1,1,Shahrake Qods,1200000000.0,40000.0,shahrake qods,900921739.1304348,30030.72463768116
43,60,2,1,1,1,,2650000000.0,88333.33,nan,2213435217.3913045,73781.17391304347
44,130,3,1,1,0,ShahrAra,5000000000.0,166666.67,shahrara,6030000000.0,201000.0
45,88,2,1,1,1,Gisha,4750000000.0,158333.33,gisha,5517111111.111111,183903.70222222223
46,51,1,1,1,1,Gisha,2980000000.0,99333.33,gisha,5517111111.111111,183903.70222222223
47,113,3,1,1,0,Shahrake Gharb,7000000000.0,233333.33,shahrake gharb,11969881355.932203,398996.04508474574
48,110,2,1,1,1,Ray,2035000000.0,67833.33,ray,1806555555.5555556,60218.51777777778
49,60,1,1,1,1,Abbasabad,2460000000.0,82000.0,abbasabad,3230000000.0,107666.665
50,98,2,1,1,1,Pardis,540000000.0,18000.0,pardis,777821917.8082192,25927.39732876712
51,62,2,0,0,1,Ostad Moein,1450000000.0,48333.33,ostad moein,1926878048.7804878,64229.26865853659
52,150,3,1,1,1,Farmanieh,10000000000.0,333333.33,farmanieh,20917280701.754387,697242.6898245614
53,75,2,0,0,0,Parand,635000000.0,21166.67,parand,523590551.18110234,17453.01874015748
54,61,1,1,1,0,Punak,2030000000.0,67666.67,punak,3728304347.826087,124276.81161490682
55,61,1,1,1,0,Punak,2030000000.0,67666.67,punak,3728304347.826087,124276.81161490682
56,72,2,1,1,1,Shahran,2350000000.0,78333.33,shahran,2985753846.1538463,99525.1286923077
57,100,2,1,1,1,Qasr-od-Dasht,3000000000.0,100000.0,qasr-od-dasht,1514571428.5714285,50485.71392857143
58,122,3,1,1,1,Aqdasieh,7200000000.0,240000.0,aqdasieh,17580000000.0,585999.9996
59,215,3,1,1,1,Pakdasht,1750000000.0,58333.33,pakdasht,822800000.0,27426.6656
60,101,2,1,1,1,Railway,3300000000.0,110000.0,railway,3687363636.3636365,122912.12090909091
61,67,2,1,1,1,Punak,2800000000.0,93333.33,punak,3728304347.826087,124276.81161490682
62,72,2,1,1,0,Punak,2200000000.0,73333.33,punak,3728304347.826087,124276.81161490682
63,63,1,1,1,0,Punak,2200000000.0,73333.33,punak,3728304347.826087,124276.81161490682
64,75,2,1,1,0,Punak,2200000000.0,73333.33,punak,3728304347.826087,124276.81161490682
65,109,2,1,1,1,Shahran,3500000000.0,116666.67,shahran,2985753846.1538463,99525.1286923077
66,122,2,1,1,1,Aqdasieh,7000000000.0,233333.33,aqdasieh,17580000000.0,585999.9996
67,70,1,1,1,1,Central Janatabad,3100000000.0,103333.33,central janatabad,3488611111.111111,116287.03677777779
68,60,1,1,1,1,West Ferdows Boulevard,2450000000.0,81666.67,west ferdows boulevard,3105744827.6068964,103524.82772413793
69,53,1,1,1,0,East Ferdows Boulevard,1920000000.0,64000.0,east ferdows boulevard,3854716216.216216,128490.54027027027
70,90,1,0,1,0,Pakdasht KhatunAbad,850000000.0,28333.33,pakdasht khatunabad,850000000.0,28333.33
71,72,2,1,1,1,Amirieh,1650000000.0,55000.0,amirieh,1790416674.0,59680.556666666664
72,74,2,1,1,1,Amirieh,1700000000.0,56666.67,amirieh,1790416674.0,59680.556666666664
73,88,3,0,0,1,Parand,560000000.0,18666.67,parand,523590551.18110234,17453.01874015748
74,63,1,1,1,1,Punak,2150000000.0,71666.67,punak,3728304347.826087,124276.81161490682
75,114,3,1,1,1,Sattarkhan,5500000000.0,183333.33,sattarkhan,5645000000.0,188166.66583333336
76,151,3,1,1,1,Saadat Abad,10200000000.0,340000.0,saadat abad,9488759689.922482,316291.9895348837
77,42,1,1,0,1,Shahran,1760000000.0,58666.67,shahran,2985753846.1538463,99525.1286923077
78,74,2,1,1,1,Amirieh,1700000000.0,56666.67,amirieh,1790416674.0,59680.556666666664
79,88,3,0,0,1,Parand,560000000.0,18666.67,parand,523590551.18110234,17453.01874015748
80,63,1,1,1,1,Punak,2150000000.0,71666.67,punak,3728304347.826087,124276.81161490682
81,114,3,1,1,1,Sattarkhan,5500000000.0,183333.33,sattarkhan,5645000000.0,188166.66583333336
82,151,3,1,1,1,Saadat Abad,10200000000.0,340000.0,saadat abad,9488759689.922482,316291.9895348837
83,42,1,1,0,1,Shahran,1760000000.0,58666.67,shahran,2985753846.1538463,99525.1286923077
84,300,3,1,1,0,Baghestan,1500000000.0,50000.0,baghestan,706875000.0,23562.50125
85,110,2,1,1,1,West Ferdows Boulevard,3730000000.0,124333.33,west ferdows boulevard,3105744827.6068964,103524.82772413793
86,100,2,0,0,0,Shahrake Qods,620000000.0,20666.67,shahrake qods,900921739.1304348,30030.72463768116
87,140,1,0,0,0,Shahryar,580000000.0,19333.33,shahryar,1541583333.3333333,51386.11083333334
88,70,2,1,1,1,Northern Janatabad,3050000000.0,101666.67,northern janatabad,3288333333.3333335,109611.11090909092
89,60,2,1,1,0,West Ferdows Boulevard,2000000000.0,66666.67,west ferdows boulevard,3105744827.6068964,103524.82772413793
90,76,2,1,1,1,North Program Organization,2600000000.0,86666.67,north program organization,5394807692.307693,179826.92307692306
91,148,3,1,1,1,Daryan No,5990000000.0,199666.67,daryan no,6096666666.666667,203222.22333333336
92,75,2,1,1,1,North Program Organization,2300000000.0,76666.67,north program organization,5394807692.307693,179826.92307692306
93,40,1,1,1,0,Pirouzi,1300000000.0,43333.33,pirouzi,2175000000.0,72499.99968253968
94,65,2,1,1,1,Southern Program Organization,2270000000.0,75666.67,southern program organization,2809565217.3913045,93652.17434782608
95,140,3,1,1,1,Rudhen,4000000000.0,133333.33,rudhen,2025818181.8181818,67527.27272727272
96,110,2,1,1,1,West Pars,4000000000.0,133333.33,west pars,4376363636.363636,145878.78636363635
97,70,2,1,0,1,Afsarieh,1650000000.0,55000.0,afsarieh,1866666666.6666667,62222.22166666667
98,128,3,1,1,1,Marzdaran,6700000000.0,223333.33,marzdaran,9467181818.181818,315572.7272727273
99,94,2,1,1,1,Parand,580000000.0,19333.33,parand,523590551.18110234,17453.01874015748
100,67,1,1,1,1,Punak,2300000000.0,76666.67,punak,3728304347.826087,124276.81161490682
101,75,1,1,1,1,Shahrake Qods,650000000.0,21666.67,shahrake qods,900921739.1304348,30030.72463768116
102,130,2,1,1,1,Dorous,16900000000.0,563333.33,dorous,13670833333.333334,455694.445
103,40,0,0,0,0,Shahrake Qods,248000000.0,8266.67,shahrake qods,900921739.1304348,30030.72463768116
104,97,2,1,1,1,Pardis,510000000.0,17000.0,pardis,777821917.8082192,25927.39732876712
105,110,2,1,1,1,Shahran,3850000000.0,128333.33,shahran,2985753846.1538463,99525.1286923077
106,150,3,1,1,1,Sadeghieh,6000000000.0,200000.0,sadeghieh,4745000000.0,158166.66666666666
107,75,2,0,0,0,Chahardangeh,780000000.0,26000.0,chahardangeh,780000000.0,26000.0
108,137,3,1,1,1,ShahrAra,7200000000.0,240000.0,shahrara,6030000000.0,201000.0
109,85,2,1,1,1,Parand,410000000.0,13666.67,parand,523590551.18110234,17453.01874015748
110,68,2,0,1,0,Pakdasht,430000000.0,14333.33,pakdasht,822800000.0,27426.6656
111,78,2,0,1,0,Baqershahr,800000000.0,26666.67,baqershahr,800000000.0,26666.67
112,85,2,1,1,1,Parand,545000000.0,18166.67,parand,523590551.18110234,17453.01874015748
113,100,2,1,1,0,Parand,1280000000.0,42666.67,parand,523590551.18110234,17453.01874015748
114,71,2,1,1,1,Punak,2800000000.0,93333.33,punak,3728304347.826087,124276.81161490682
115,140,3,1,1,1,Gisha,11200000000.0,373333.33,gisha,5517111111.111111,183903.70222222223
116,136,3,1,1,0,Parand,750000000.0,25000.0,parand,523590551.18110234,17453.01874015748
117,48,1,0,0,0,Jeyhoon,850000000.0,28333.33,jeyhoon,1748100000.0,58270.00021978022
118,100,2,1,1,1,Lavizan,3300000000.0,110000.0,lavizan,2975000000.0,99166.66500000001
119,82,2,1,0,1,Shams Abad,3280000000.0,109333.33,shams abad,3452500000.0,115083.33375
120,120,3,1,1,1,Fatemi,4800000000.0,160000.0,fatemi,4066666666.6666665,135555.55333333332
121,139,3,1,1,1,Gisha,7300000000.0,243333.33,gisha,5517111111.111111,183903.70222222223
122,110,3,1,1,1,Keshavarz Boulevard,3950000000.0,131666.67,keshavarz boulevard,2942500000.0,98083.335
123,78,2,0,0,1,Parand,370000000.0,12333.33,parand,523590551.18110234,17453.01874015748
124,79,2,0,0,0,Baghestan,750000000.0,25000.0,baghestan,706875000.0,23562.50125
125,66,2,1,1,1,Salsabil,1725000000.0,57500.0,salsabil,1397009166.6666667,46566.97266666666
126,78,2,1,1,1,Kahrizak,780000000.0,26000.0,kahrizak,1082218750.0,36073.957500000004
127,85,2,1,1,1,Shahryar,1419000000.0,47300.0,shahryar,1541583333.3333333,51386.11083333334
128,100,2,1,1,0,Qarchak,1200000000.0,40000.0,qarchak,726720000.0,24224.0
129,80,2,1,1,1,Northren Jamalzadeh,3600000000.0,120000.0,northren jamalzadeh,3506428571.428571,116880.95214285715
130,44,1,1,1,0,Salsabil,1050000000.0,35000.0,salsabil,1397009166.6666667,46566.97266666666
131,120,2,1,1,0,Shahryar,1200000000.0,40000.0,shahryar,1541583333.3333333,51386.11083333334
132,50,1,0,1,0,Shahrake Qods,340000000.0,11333.33,shahrake qods,900921739.1304348,30030.72463768116
133,121,3,1,1,0,Ostad Moein,3300000000.0,110000.0,ostad moein,1926878048.7804878,64229.26865853659
134,80,2,1,1,1,Azarbaijan,2800000000.0,93333.33,azarbaijan,2350416666.6666665,78347.2225
135,70,2,0,1,1,Bahar,1200000000.0,40000.0,bahar,1200000000.0,40000.0
136,160,1,0,0,0,Qarchak,3600000.0,120.0,qarchak,726720000.0,24224.0
137,40,0,0,0,0,Pakdasht,165000000.0,5500.0,pakdasht,822800000.0,27426.6656
138,88,2,1,1,1,Railway,2860000000.0,95333.33,railway,3687363636.3636365,122912.12090909091
139,141,3,1,1,1,Persian Gulf Martyrs Lake,3810000000.0,127000.0,persian gulf martyrs lake,3082579545.4545455,102752.65125000001
140,140,3,1,1,1,Persian Gulf Martyrs Lake,1790000000.0,59666.67,persian gulf martyrs lake,3082579545.4545455,102752.65125000001
141,120,2,1,1,1,Persian Gulf Martyrs Lake,1530000000.0,51000.0,persian gulf martyrs lake,3082579545.4545455,102752.65125000001
142,66,2,0,1,0,Beryanak,1000000000.0,33333.33,beryanak,1144520000.0,38150.6668
143,70,2,1,1,1,Punak,3500000000.0,116666.67,punak,3728304347.826087,124276.81161490682
144,75,2,1,0,1,Heshmatieh,3000000000.0,100000.0,heshmatieh,3562500000.0,118750.0
145,70,2,0,1,1,Elm-o-Sanat,1800000000.0,60000.0,elm-o-sanat,2316666666.6666665,77222.22333333333
146,150,3,1,1,1,Saadat Abad,20000000000.0,666666.67,saadat abad,9488759689.922482,316291.9895348837
147,95,2,1,1,1,Golestan,950000000.0,31666.67,golestan,2829687500.0,94322.916875
148,127,2,1,1,1,Southern Janatabad,6000000000.0,200000.0,southern janatabad,3178451612.903226,105948.38731182796
149,123,3,1,1,1,Shahr-e-Ziba,3700000000.0,123333.33,shahr-e-ziba,3103889908.2568808,103462.99724770641
150,63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67,southern janatabad,3178451612.903226,105948.38731182796
151,90,2,1,1,1,Punak,3050000000.0,101666.67,punak,3728304347.826087,124276.81161490682
152,105,2,1,1,1,Pardis,605000000.0,20166.67,pardis,777821917.8082192,25927.39732876712
153,180,3,1,1,1,Pasdaran,9900000000.0,330000.0,pasdaran,9288954545.454546,309631.8181818182
154,120,3,1,0,1,Pirouzi,3700000000.0,123333.33,pirouzi,2175000000.0,72499.99968253968
155,65,2,1,1,1,Feiz Garden,2500000000.0,83333.33,feiz garden,3056315789.4736843,101877.19315789473
156,158,3,1,1,1,Farmanieh,10480000000.0,349333.33,farmanieh,20917280701.754387,697242.6898245614
157,144,3,1,1,1,Chardivari,7632000000.0,254400.0,chardivari,7632000000.0,254400.0
158,144,3,1,1,1,Punak,7632000000.0,254400.0,punak,3728304347.826087,124276.81161490682
159,130,3,1,1,1,Gheitarieh,12300000000.0,410000.0,gheitarieh,10745539568.345324,358184.6525179856
160,245,3,1,1,1,Farmanieh,26950000000.0,898333.33,farmanieh,20917280701.754387,697242.6898245614
161,190,3,1,1,1,Kamranieh,24300000000.0,810000.0,kamranieh,18301428571.42857,610047.6185714286
162,63,2,1,1,1,Central Janatabad,3000000000.0,100000.0,central janatabad,3488611111.111111,116287.03677777779
163,75,2,1,1,1,East Ferdows Boulevard,2100000000.0,70000.0,east ferdows boulevard,3854716216.216216,128490.54027027027
164,88,2,1,0,1,Gholhak,4700000000.0,156666.67,gholhak,6800000000.0,226666.667
165,108,2,1,1,1,Pasdaran,9180000000.0,306000.0,pasdaran,9288954545.454546,309631.8181818182
166,117,2,1,1,1,Islamshahr,1579500000.0,52650.0,islamshahr,1257423076.9230769,41914.10230769231
167,200,3,1,1,1,Pasdaran,12000000000.0,400000.0,pasdaran,9288954545.454546,309631.8181818182
168,65,1,1,1,0,Pirouzi,1750000000.0,58333.33,pirouzi,2175000000.0,72499.99968253968
169,90,2,1,1,1,Central Janatabad,3780000000.0,126000.0,central janatabad,3488611111.111111,116287.03677777779
170,125,2,1,1,1,Heravi,8100000000.0,270000.0,heravi,8061869565.217391,268728.98521739134
171,140,3,1,1,1,Heravi,9100000000.0,303333.33,heravi,8061869565.217391,268728.98521739134
172,71,2,0,1,1,Hashemi,1550000000.0,51666.67,hashemi,1286000000.0,42866.666923076926
173,71,2,0,1,1,Jeyhoon,1640000000.0,54666.67,jeyhoon,1748100000.0,58270.00021978022
174,236,4,1,1,1,Gheitarieh,20000000000.0,666666.67,gheitarieh,10745539568.345324,358184.6525179856
175,67,2,1,1,1,Central Janatabad,2750000000.0,91666.67,central janatabad,3488611111.111111,116287.03677777779
176,60,1,1,1,1,Punak,1750000000.0,58333.33,punak,3728304347.826087,124276.81161490682
177,220,3,1,1,1,Heravi,15400000000.0,513333.33,heravi,8061869565.217391,268728.98521739134
178,44,1,1,1,0,Andisheh,350000000.0,11666.67,andisheh,1877592771.0843372,62586.42602409639
179,68,1,1,1,1,Heravi,4115000000.0,137166.67,heravi,8061869565.217391,268728.98521739134
180,100,2,1,1,1,Pasdaran,8000000000.0,266666.67,pasdaran,9288954545.454546,309631.8181818182
181,86,2,1,1,1,Pardis,580000000.0,19333.33,pardis,777821917.8082192,25927.39732876712
182,84,2,1,1,1,Pardis,560000000.0,18666.67,pardis,777821917.8082192,25927.39732876712
